model,dataset,mae,mse,rmse,trend_match
iTransformer,ADAUSDT,0.0017196336,6.6388247e-06,0.0025765917,46.23381207591614
iTransformer,ATOMUSDT,0.008190444,0.00014267588,0.011944701,42.38872686160035
iTransformer,BCHUSDT,0.8592705,1.8824792,1.3720347,48.93169748874207
iTransformer,BNBUSDT,2.7326245,39.964653,6.32176,49.67348928726827
iTransformer,BTCUSDT,131.68777,72999.734,270.18463,48.567704010219074
iTransformer,DOGEUSDT,0.00067959767,4.5748047e-06,0.0021388794,49.05559157240639
iTransformer,DOTUSDT,0.009195828,0.00018034893,0.013429405,43.272935695650425
iTransformer,ETCUSDT,0.033947386,0.0027958455,0.052875753,48.202836807551776
iTransformer,ETHUSDT,7.958489,208.42365,14.436885,49.7834037846235
iTransformer,FILUSDT,0.0059171924,0.00037483583,0.019360678,39.05913889243233
iTransformer,LINKUSDT,0.046800904,0.0050947717,0.07137767,48.463031857729746
iTransformer,LTCUSDT,0.1971462,0.09695494,0.3113759,46.49889998130231
iTransformer,SOLUSDT,0.5547921,1.3599582,1.1661725,48.594439969035214
iTransformer,TRXUSDT,0.00026470196,1.6022048e-07,0.00040027552,43.989738983649126
iTransformer,UNIUSDT,0.017802484,0.00083088374,0.028825054,46.29444853153183
iTransformer,VETUSDT,4.6762652e-05,4.6185464e-09,6.795989e-05,48.612089196750446
iTransformer,XLMUSDT,0.0007879,1.3326039e-06,0.0011543847,49.194688456181865
iTransformer,XMRUSDT,0.76102597,1.2515812,1.1187409,48.78770774975841
iTransformer,XRPUSDT,0.0059522935,0.0004023903,0.020059668,48.42284054709111
