model,dataset,mae,mse,rmse,trend_match
Linear,ADAUSDT,0.005298657,4.5781788e-05,0.006766224,46.0527764332134
DLinear,ADAUSDT,0.00461681,3.014118e-05,0.005490098,46.16269093056864
NLinear,ADAUSDT,0.0018240744,7.2614307e-06,0.002694704,46.277148793474325
Linear,ATOMUSDT,0.03838558,0.0021696847,0.046579875,42.30065546785306
DLinear,ATOMUSDT,0.03596877,0.0018832935,0.04339693,42.37736844772421
NLinear,ATOMUSDT,0.008190168,0.00014394439,0.011997683,42.44149979991717
Linear,BCHUSDT,6.598924,84.45713,9.190056,48.93431866117502
DLinear,BCHUSDT,3.4401736,16.775227,4.095757,48.8348888535516
NLinear,BCHUSDT,0.8425012,1.8526545,1.3611225,48.80203682572524
Linear,BNBUSDT,13.061913,253.88063,15.933632,49.57266152101394
DLinear,BNBUSDT,8.559652,127.017525,11.2702055,49.630851549025536
NLinear,BNBUSDT,2.8082883,40.127743,6.334646,49.616522473058716
Linear,BTCUSDT,380.799,252636.9,502.62997,48.36465051907952
DLinear,BTCUSDT,541.5813,610162.2,781.1288,48.370417098432014
NLinear,BTCUSDT,132.06645,71963.27,268.2597,48.532405554788625
Linear,DOGEUSDT,0.0013050081,6.3260977e-06,0.0025151735,48.91282504722479
DLinear,DOGEUSDT,0.0017172986,8.266717e-06,0.0028751898,48.927678357678204
NLinear,DOGEUSDT,0.00068256847,4.8510333e-06,0.0022025062,48.927154123191606
Linear,DOTUSDT,0.023835227,0.0008167095,0.028578129,43.12754799803587
DLinear,DOTUSDT,0.019808242,0.0005967099,0.024427647,43.34702750308861
NLinear,DOTUSDT,0.009225472,0.00018392912,0.013562047,43.29897267515111
Linear,ETCUSDT,0.03632789,0.0030531054,0.055254914,47.93233181247084
DLinear,ETCUSDT,0.034301914,0.0027961517,0.05287865,48.0335090683829
NLinear,ETCUSDT,0.033813585,0.0027885342,0.052806575,48.066885330695854
Linear,ETHUSDT,19.372957,669.9279,25.882965,49.735523701514865
DLinear,ETHUSDT,25.304031,1026.8921,32.04516,49.80332469511396
NLinear,ETHUSDT,7.901661,209.11516,14.460814,49.880911399129424
Linear,FILUSDT,0.027918229,0.0014165436,0.037637,39.12728937568915
DLinear,FILUSDT,0.030300725,0.0015773461,0.039715815,39.11820264458824
NLinear,FILUSDT,0.005717523,0.00033902124,0.018412529,39.21850617635598
Linear,LINKUSDT,0.08441537,0.012194529,0.11042884,48.461808643927704
DLinear,LINKUSDT,0.1155169,0.022706533,0.15068687,48.492913223465436
NLinear,LINKUSDT,0.04651498,0.0050345,0.07095421,48.52349356851657
Linear,LTCUSDT,1.261597,3.0271237,1.7398632,46.19169857216001
DLinear,LTCUSDT,0.7538564,0.806686,0.898157,46.25740262781274
NLinear,LTCUSDT,0.1950172,0.09510251,0.30838695,46.45521377408639
Linear,SOLUSDT,2.022234,6.2533894,2.5006778,48.68460830072886
DLinear,SOLUSDT,0.84519476,1.9735707,1.4048383,48.73336210798182
NLinear,SOLUSDT,0.5558755,1.3539671,1.1636009,48.53275504444635
Linear,TRXUSDT,0.0023569535,7.960231e-06,0.0028213882,43.882969893213435
DLinear,TRXUSDT,0.0016114815,4.4161516e-06,0.0021014642,43.89170713465661
NLinear,TRXUSDT,0.00025950506,1.5765288e-07,0.00039705526,44.0124558114014
Linear,UNIUSDT,0.022104755,0.0010981845,0.033138867,46.316990614455236
DLinear,UNIUSDT,0.021149868,0.000992077,0.031497255,46.15867179950477
NLinear,UNIUSDT,0.01783876,0.0008323578,0.028850611,46.28431333145774
Linear,VETUSDT,6.083563e-05,7.3906676e-09,8.596899e-05,48.611215472606126
DLinear,VETUSDT,5.713611e-05,6.11332e-09,7.8187724e-05,48.49972827179111
NLinear,VETUSDT,4.744643e-05,4.7609356e-09,6.8999536e-05,48.65472693499318
Linear,XLMUSDT,0.0051657083,3.390238e-05,0.0058225747,49.01452653762344
DLinear,XLMUSDT,0.0026684469,1.22236e-05,0.0034962264,48.995828840935026
NLinear,XLMUSDT,0.00089070795,1.7648766e-06,0.0013284866,49.18804815268504
Linear,XMRUSDT,2.5030532,8.6947,2.9486778,48.769184797898866
DLinear,XMRUSDT,4.140033,26.655148,5.1628623,48.33424491885724
NLinear,XMRUSDT,0.76191735,1.2643671,1.1244408,48.451149209367024
Linear,XRPUSDT,0.056375522,0.0044972594,0.06706161,48.48749613377066
DLinear,XRPUSDT,0.032554302,0.0019678636,0.044360608,48.56246166535317
NLinear,XRPUSDT,0.00594348,0.00039915263,0.019978805,48.620826438193625
