model,dataset,mae,mse,rmse,trend_match
PatchTST,ADAUSDT,0.0017360339,6.828914e-06,0.0026132192,46.143993233880224
PatchTST,ATOMUSDT,0.007981911,0.00014025856,0.011843081,42.39449344095284
PatchTST,BCHUSDT,0.8634118,1.9660863,1.402172,48.84170390187728
PatchTST,BNBUSDT,2.750115,38.77694,6.2271132,49.64343317670372
PatchTST,BTCUSDT,132.82034,71022.5,266.50046,48.455867319746346
PatchTST,DOGEUSDT,0.00068629935,4.4357275e-06,0.0021061166,48.96786966831684
PatchTST,DOTUSDT,0.009062595,0.00017956624,0.013400232,43.12230565316996
PatchTST,ETCUSDT,0.03440248,0.0028956928,0.053811643,48.226252614619504
PatchTST,ETHUSDT,8.007744,210.3993,14.505148,49.66073291476122
PatchTST,FILUSDT,0.005864564,0.00037901232,0.019468239,39.0972332651246
PatchTST,LINKUSDT,0.047321167,0.0052123964,0.07219693,48.44031502997748
PatchTST,LTCUSDT,0.20047803,0.10097892,0.3177718,46.42096378762911
PatchTST,SOLUSDT,0.57049775,1.3960838,1.1815599,48.60562363808249
PatchTST,TRXUSDT,0.00026374325,1.6126585e-07,0.0004015792,43.778472485552975
PatchTST,UNIUSDT,0.017872723,0.0008362156,0.028917393,46.293400062558646
PatchTST,VETUSDT,4.6446286e-05,4.622537e-09,6.798924e-05,48.71623711475318
PatchTST,XLMUSDT,0.00079376413,1.3510597e-06,0.001162351,49.063629834534126
PatchTST,XMRUSDT,0.7729243,1.2753555,1.1293163,48.677443762745455
PatchTST,XRPUSDT,0.0059780288,0.00040655688,0.020163255,48.54096805140294
